index,productivity,quality,comparison,measure,rating,performance,evaluation,indicator,sleep_quality,quality_life,inequality,swb_measures,assessment,measurement,perception_quality,physiological_measures,performancebased,resilient_performance,performance_buildings,policy_performance
human_health,0.17012348771095276,0.2638530433177948,0.11992133408784866,0.11400527507066727,0.24300552904605865,0.14131461083889008,0.23931573331356049,,0.12440373003482819,0.05018297955393791,,0.15507079660892487,,0.17496594786643982,,0.08309556543827057,0.15853901207447052,0.0734541043639183,0.08648747205734253,0.22406400740146637
health_promoting,0.17012348771095276,0.23104508221149445,0.18317192792892456,0.11858925223350525,0.17338936030864716,0.14131461083889008,0.13203056156635284,0.15431812405586243,0.11888234317302704,0.1572866141796112,0.059816986322402954,0.07844093441963196,0.1512298583984375,0.23428234457969666,0.0997728481888771,0.0993821769952774,0.1539449542760849,0.10922283679246902,0.09367924183607101,0.22406400740146637
geriatric_depression,0.12966910004615784,0.23104508221149445,0.06151964142918587,0.0860169529914856,0.12385190278291702,0.06513597816228867,0.13203056156635284,0.15431812405586243,0.09591886401176453,0.08860863000154495,,0.07844093441963196,0.10142289847135544,,,,,0.1444845348596573,0.062203098088502884,0.1322207897901535
psychophysiological_wellbeing,0.06377090513706207,0.23104508221149445,0.12746793031692505,0.14168579876422882,0.09372477233409882,0.10446193069219589,0.1261478066444397,0.10439642518758774,0.09591886401176453,0.164004385471344,0.1630815863609314,0.0913352444767952,0.14475220441818237,0.09067029505968094,0.13355642557144165,0.15492214262485504,0.26301777362823486,0.10510531067848206,0.23445749282836914,0.20908784866333008
health_promotion,0.17012348771095276,0.23104508221149445,0.09913273900747299,0.18078619241714478,0.17338936030864716,0.14131461083889008,0.13203056156635284,0.15431812405586243,0.13805857300758362,0.1572866141796112,,0.07898176461458206,0.10142289847135544,,0.05794478952884674,0.15453873574733734,0.15251849591732025,0.12968727946281433,0.10639258474111557,0.22406400740146637
social_health,0.17012348771095276,0.06997279077768326,0.09913273900747299,0.07452673465013504,0.26736801862716675,0.14131461083889008,0.11020917445421219,,0.28354233503341675,0.1587207019329071,,0.1629970222711563,0.0979146957397461,0.15863920748233795,,,0.24097126722335815,0.16264747083187103,0.09215348958969116,0.22406400740146637
emotional_well,0.06558629870414734,,0.12746793031692505,0.21450065076351166,0.09061902016401291,0.09873636811971664,0.1897193193435669,0.10439642518758774,,0.164004385471344,,0.06643099337816238,0.09172558784484863,0.09962247312068939,0.06571538001298904,,0.0870150476694107,0.12012294679880142,0.12730899453163147,0.20908784866333008
subjective_wellbeing,0.10814643651247025,0.17052923142910004,0.237745001912117,0.2407154142856598,0.24300552904605865,0.2531920075416565,0.11112048476934433,0.10439642518758774,0.15246866643428802,0.3166772723197937,0.11177436262369156,0.12372373789548874,0.11478026211261749,0.17496594786643982,0.14456172287464142,0.12025336921215057,0.20542274415493011,0.07203037291765213,0.09367924183607101,0.20908784866333008
residents_mental,0.11960674822330475,0.09572893381118774,0.153800830245018,0.16705702245235443,0.1201668381690979,0.06623255461454391,0.11020917445421219,,0.09591886401176453,0.1688421368598938,0.14568619430065155,0.12163136899471283,0.18005114793777466,0.24260137975215912,,0.11505308747291565,0.22708618640899658,0.26367735862731934,0.18662694096565247,0.07882130891084671
mental_functioning,,0.1797982156276703,0.10643041878938675,0.16705702245235443,0.24300552904605865,0.1371486335992813,,0.14798058569431305,0.20566843450069427,,0.14568619430065155,0.10793771594762802,0.06781844794750214,0.17496594786643982,0.07417670637369156,0.08688842505216599,0.22708618640899658,0.12438562512397766,0.12709486484527588,0.1352120041847229
