index,physiological_measures,perception_quality,rating,quality_life,inequality,productivity,quality,policy_performance,measurement,performance_buildings,measure,comparison,evaluation,swb_measures,performancebased,resilient_performance,assessment,performance,indicator,sleep_quality
green_infrastructure,0.0839789733290672,0.1972172260284423,0.2430055290460586,0.0886629745364189,0.2119141668081283,0.1106041371822357,0.1267776191234588,0.1527067571878433,0.1749659478664398,0.1465193927288055,0.1140052750706672,0.1064304187893867,0.1102091744542121,0.1157102361321449,0.1645163297653198,0.1424895524978637,0.1181848645210266,0.0954529196023941,0.0792274177074432,0.1007571369409561
green_interventions,0.1423218846321106,0.1972172260284423,,0.3142236769199371,0.1651190817356109,0.0933840945363044,0.0666024461388588,0.0569162741303443,0.0500302910804748,0.0774744823575019,0.0640996620059013,0.0742830708622932,0.1102091744542121,0.1343739181756973,0.1255023032426834,0.1340462565422058,0.1181848645210266,0.134283035993576,0.1660107672214508,0.0959188640117645
green_spaces,0.1165931597352027,0.1972172260284423,0.0999690070748329,0.0886629745364189,0.1651190817356109,0.2075028419494629,0.2310450822114944,0.0770213752985,0.0523626394569873,0.0842351242899894,,0.0742830708622932,0.1102091744542121,0.0784409344196319,0.1318959295749664,0.1127187833189964,0.1181848645210266,,0.0817192494869232,0.0959188640117645
impact_green,0.0839789733290672,0.1972172260284423,0.0500961691141128,0.0937973335385322,0.1651190817356109,0.2073981761932373,0.2349467128515243,0.1695112437009811,0.0703551024198532,0.0774744823575019,,0.0780397579073906,0.0809649005532264,0.201737567782402,0.101344458758831,0.0556785725057125,0.1181848645210266,0.1197648495435714,0.0792274177074432,
vegetation,0.1370881348848343,,0.14007268846035,0.0766387283802032,0.1252263337373733,,0.1039517894387245,0.1286474913358688,,,,,0.0944292023777961,0.0656159818172454,,0.1102178692817688,,0.1108297184109687,0.1998506188392639,0.1600451916456222
green_avenues,0.0839789733290672,0.2207593619823455,0.2430055290460586,0.0886629745364189,0.1651190817356109,0.1345930397510528,0.1284571141004562,0.1352120041847229,0.2035619467496872,0.0774744823575019,0.1140052750706672,0.1064304187893867,0.1102091744542121,0.0594506673514843,0.1585390120744705,,0.1181848645210266,0.1052985861897468,0.0792274177074432,0.0959188640117645
natural_green,0.0839789733290672,0.1972172260284423,0.2430055290460586,0.0886629745364189,0.1760338991880417,0.1024228855967521,0.1748686283826828,0.1352120041847229,0.1749659478664398,0.1298094093799591,0.1140052750706672,0.1064304187893867,0.0809649005532264,0.0594506673514843,0.1585390120744705,,0.1181848645210266,0.1105993166565895,0.0792274177074432,
greenery,0.0839789733290672,0.1972172260284423,,0.0886629745364189,0.1651190817356109,0.1204360350966453,0.0666024461388588,0.100907415151596,0.0710964351892471,0.1238202005624771,0.0695977658033371,0.125265821814537,0.0809649005532264,,,0.0799344778060913,0.1181848645210266,,0.0792274177074432,0.0501106120645999
environment_semi,0.2302473187446594,0.3308227658271789,0.1893457472324371,0.218521699309349,0.2427213490009308,0.1163169741630554,,0.0689281374216079,0.1161268576979637,0.115167960524559,0.1205882877111435,0.0615196414291858,0.1102091744542121,0.2306171357631683,0.10289316624403,,0.0811236128211021,,0.1107657328248024,0.0959188640117645
urban_vegetation,0.1370881348848343,,0.2430055290460586,0.0766387283802032,0.1252263337373733,,0.1039517894387245,0.1352120041847229,0.1749659478664398,,0.1140052750706672,0.1064304187893867,0.0944292023777961,0.0656159818172454,0.1585390120744705,0.1102178692817688,,0.1108297184109687,0.1998506188392639,0.2084231227636337
greenspace,0.0899219810962677,0.1972172260284423,0.0935633033514022,0.0886629745364189,0.1651190817356109,0.0933840945363044,0.2310450822114944,0.0770213752985,0.0523626394569873,0.0842351242899894,,0.0742830708622932,0.1439153552055359,0.1347797065973281,0.1115631684660911,0.1127187833189964,0.1181848645210266,,0.0792274177074432,0.1790127754211425
streetscape_greenness,0.0839789733290672,0.1972172260284423,0.1622164994478225,0.1286720037460327,0.1651190817356109,0.133319541811943,0.2310450822114944,0.0770213752985,0.0825465470552444,0.0774744823575019,,0.1231381446123123,0.1102091744542121,0.1136570870876312,0.1653137356042862,0.0895332545042038,0.1202050596475601,0.1574942916631698,0.208991065621376,0.1947706490755081
exposure_green,0.0839789733290672,0.1972172260284423,0.3522780835628509,0.1532894372940063,0.1651190817356109,0.0933840945363044,0.2310450822114944,0.1352120041847229,0.3180969953536987,0.3054291307926178,0.1140052750706672,0.1064304187893867,0.1102091744542121,0.0825588703155517,0.2061884254217147,0.0991412103176117,0.1181848645210266,0.1059358790516853,0.2124041765928268,0.0959188640117645
greenness,0.0839789733290672,0.1972172260284423,,0.0886629745364189,0.1651190817356109,0.0933840945363044,0.0928839892148971,0.0615203380584716,,0.0774744823575019,,0.0742830708622932,0.1102091744542121,0.0939586088061332,0.1368435174226761,0.0895332545042038,0.1181848645210266,,0.0792274177074432,0.0959188640117645
green_environments,0.0993821769952774,0.1972172260284423,0.1106580272316932,0.1572866141796112,0.1651190817356109,0.0933840945363044,0.0666024461388588,0.0960945859551429,0.1161268576979637,0.0774744823575019,0.1205882877111435,0.0742830708622932,0.1102091744542121,0.2306171357631683,0.10289316624403,0.1183527559041976,0.1181848645210266,,0.1107657328248024,0.0959188640117645
historic_environments,0.0993821769952774,0.0579447895288467,0.1106580272316932,0.1572866141796112,0.1456861943006515,,0.1204526424407959,0.0689281374216079,0.1161268576979637,,0.1967437714338302,0.0615196414291858,0.1102091744542121,0.2306171357631683,0.10289316624403,,0.0811236128211021,,0.1107657328248024,0.0959188640117645
natural_environments,0.0993821769952774,0.1111449226737022,0.2430055290460586,0.2369661331176757,0.1456861943006515,0.2129437178373336,,0.1352120041847229,0.1749659478664398,0.1298094093799591,0.1205882877111435,0.1752973645925521,0.1102091744542121,0.2306171357631683,0.1585390120744705,,0.1142667606472969,0.1738781780004501,0.1308674365282058,0.0959188640117645
green_modern,0.0839789733290672,0.1972172260284423,,0.0886629745364189,0.1651190817356109,0.2071525007486343,0.073020689189434,0.1410043686628341,0.1002035364508628,0.0774744823575019,0.1019853875041008,0.1398703008890152,0.2095028907060623,,,,0.1181848645210266,0.0747689232230186,0.0792274177074432,
microclimate,0.0993821769952774,0.0620902478694915,,0.165362536907196,,0.1207688599824905,0.1883684992790222,,,0.130375251173973,,0.076481357216835,,0.0834759697318077,0.0761908143758773,0.14308463037014,0.1438261270523071,0.2008267194032669,0.1042985618114471,
natural_environment,0.0993821769952774,0.0812434256076812,0.2430055290460586,0.2369661331176757,0.1456861943006515,0.2129437178373336,,0.1352120041847229,0.1749659478664398,0.1298094093799591,0.1205882877111435,0.1064304187893867,,0.2306171357631683,0.1585390120744705,,0.1142667606472969,0.1105993166565895,0.1107657328248024,
exercise_environment,0.1012730747461319,0.0579447895288467,0.1106580272316932,0.1572866141796112,0.1456861943006515,0.1379075944423675,0.0815972536802291,0.0689281374216079,0.1161268576979637,,0.1205882877111435,0.0996983274817466,0.1102091744542121,0.2306171357631683,0.10289316624403,0.234483927488327,0.0845012292265892,,0.1881521940231323,0.0959188640117645
environmental_stressors,0.1380181163549423,0.0899746492505073,0.1106580272316932,0.1572866141796112,0.1456861943006515,0.1168109029531478,0.1218187659978866,0.0697046369314193,0.1161268576979637,0.0816975459456443,0.1670570224523544,0.0769565105438232,0.1102091744542121,0.2306171357631683,0.2270861864089965,0.1243856251239776,0.0811236128211021,0.1406578719615936,0.1107657328248024,0.0959188640117645
sunlight,0.1157887652516365,,0.2430055290460586,0.1769377142190933,0.1092813238501548,,,0.1352120041847229,0.1749659478664398,,0.186608612537384,0.1200289651751518,0.1102091744542121,0.0594506673514843,0.1585390120744705,0.2383864223957061,0.0811236128211021,0.0554168745875358,0.0582843311131,0.1474982798099517
road_environment,0.0993821769952774,0.1848378479480743,0.2127690762281417,0.1572866141796112,0.1456861943006515,0.184699147939682,,0.10508893430233,0.1178696304559707,0.2501902282238006,0.1205882877111435,0.174099788069725,0.0843726322054863,0.2306171357631683,0.197363331913948,0.0964809730648994,0.1107230335474014,,0.1107657328248024,0.1999904364347458
microclimate_environments,0.0993821769952774,0.0620902478694915,0.1106580272316932,0.165362536907196,0.1456861943006515,0.1207688599824905,0.1883684992790222,0.0689281374216079,0.1161268576979637,0.130375251173973,0.1205882877111435,0.0925521031022071,0.1102091744542121,0.2306171357631683,0.10289316624403,0.14308463037014,0.1898536384105682,0.2008267194032669,0.1704683303833007,0.1707455813884735
environment_elements,0.192996010184288,0.0579447895288467,0.1681345701217651,0.1572866141796112,0.1456861943006515,0.153715968132019,,0.1145249307155609,0.1161268576979637,0.1345800161361694,0.1205882877111435,0.0660809874534607,0.1102091744542121,0.2306171357631683,0.10289316624403,0.1582311391830444,0.124493770301342,0.1374759376049041,0.1965693682432174,0.0959188640117645
social_environment,0.0993821769952774,0.1597382128238678,0.1106580272316932,0.1572866141796112,0.1456861943006515,,0.0878663435578346,0.0689281374216079,0.1161268576979637,,0.1205882877111435,0.062699556350708,0.1102091744542121,0.2306171357631683,0.10289316624403,0.162647470831871,0.1237092539668083,,0.1107657328248024,0.0959188640117645
environment_work,0.0993821769952774,0.0579447895288467,0.1106580272316932,0.1572866141796112,0.1456861943006515,,,0.0979340225458145,0.1161268576979637,,0.1831862479448318,0.0603075735270977,0.1099884286522865,0.2306171357631683,0.10289316624403,,0.0587935894727706,,0.1107657328248024,0.1917869746685028
work_environment,0.0993821769952774,0.0579447895288467,0.2572729289531708,0.1572866141796112,0.1456861943006515,,,0.0979340225458145,0.2056440860033035,0.1627400368452072,0.1831862479448318,0.0603075735270977,0.1099884286522865,0.2306171357631683,0.10289316624403,,0.082832746207714,,0.1107657328248024,0.1917869746685028
green_areas,0.0839789733290672,0.1972172260284423,,0.0886629745364189,0.1651190817356109,0.0933840945363044,0.1143654212355613,,0.0902806296944618,0.0774744823575019,0.1595709472894668,0.0742830708622932,0.1102091744542121,0.1046902909874916,,0.1845296919345855,0.1181848645210266,,0.1285135000944137,0.0959188640117645
humidity,,0.0656341835856437,0.2430055290460586,,,0.1306544840335846,,0.1352120041847229,0.1749659478664398,,0.1140052750706672,0.1064304187893867,0.0943668037652969,0.0594506673514843,0.1585390120744705,0.3043668270111084,,0.2003015428781509,0.0948028042912483,
personal_environmental,0.1651690900325775,0.2066484987735748,0.1509436815977096,0.1572866141796112,0.1456861943006515,0.2446199357509613,0.2310450822114944,0.0770213752985,0.1161268576979637,0.1317522078752517,0.1670570224523544,0.0957496091723442,0.1512168198823928,0.2306171357631683,0.2270861864089965,0.1243856251239776,0.1014228984713554,0.0874909907579422,0.1107657328248024,0.1194743365049362
home_environment,0.0993821769952774,0.0579447895288467,0.210434690117836,0.1572866141796112,0.1630498021841049,0.0513449423015117,0.0987506434321403,0.0689281374216079,0.1161268576979637,,0.1205882877111435,0.0750249177217483,0.064100868999958,0.2306171357631683,0.2073386758565902,,0.0587935894727706,0.0921513438224792,0.1107657328248024,0.0782070681452751
different_environments,0.0993821769952774,0.2184536606073379,0.2307902574539184,0.1572866141796112,0.1456861943006515,,0.3138297498226166,0.1265893131494522,0.1161268576979637,0.0680184066295623,0.1205882877111435,0.0615196414291858,0.1102091744542121,0.2306171357631683,0.10289316624403,0.1138555034995079,0.0831417441368103,,0.2086984366178512,0.0959188640117645
